Country	Sector	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Bosnia and Herzegovina	Construction	351.60	323.00	322.20	327.80	341.00	399.60	443.80	558.20	706.20	675.10	570.20	550.30	534.00	534.70	572.80	572.40	597.80	643.90	685.60	758.30	808.60	850.50	1011.00	1165.30	1219.50
Bosnia and Herzegovina	Financial and insurance activities	173.60	177.20	201.50	230.40	261.80	315.30	347.60	433.30	455.90	469.00	480.40	509.20	505.50	508.90	527.10	536.10	563.20	613.90	642.00	670.50	646.80	693.30	768.70	903.40	905.50
Bosnia and Herzegovina	Industry (except construction)	949.90	1034.30	1094.40	1164.70	1314.00	1534.60	1712.90	1951.80	2321.10	2229.40	2341.80	2426.20	2365.20	2521.80	2526.50	2641.20	2859.90	3115.70	3429.30	3487.20	3413.30	4113.10	4741.50	4889.40	4553.00
Bosnia and Herzegovina	Information and communication	268.20	321.20	372.20	418.90	454.60	471.00	485.30	524.10	585.80	594.10	602.10	628.60	635.90	650.60	661.50	662.00	659.50	672.10	697.00	748.60	780.50	882.90	1064.10	1197.50	1306.40
Bosnia and Herzegovina	Professional, scientific and technical activities; administrative and support service activities	148.10	152.00	179.90	202.70	238.00	295.10	318.50	369.10	416.00	419.90	437.20	460.30	476.80	454.80	475.10	519.00	560.00	571.90	619.40	687.70	688.00	793.80	982.00	1141.60	1241.00
Bosnia and Herzegovina	Public administration, defence, education, human health and social work activities	1107.90	1150.40	1274.20	1313.40	1366.80	1452.40	1617.90	1836.70	2242.00	2353.70	2350.70	2475.80	2491.90	2496.70	2574.40	2614.40	2608.40	2636.60	2757.10	2933.20	3056.10	3222.30	3617.90	4088.30	4303.00
Bosnia and Herzegovina	Real estate activities	554.50	579.50	610.50	622.00	629.90	625.50	622.10	622.30	634.60	666.20	674.70	676.30	691.80	714.20	721.50	734.10	752.80	820.20	852.40	876.20	870.60	906.40	970.30	1074.30	1024.20
Bosnia and Herzegovina	Total - all NACE activities	5130.30	5485.20	5975.70	6304.10	6905.70	7613.80	8376.20	9455.40	10968.00	10856.60	10992.40	11368.60	11335.60	11682.10	11874.80	12231.20	12794.90	13496.60	14431.80	15227.20	14976.80	16748.30	19590.20	21513.00	22078.60
Bosnia and Herzegovina	Wholesale and retail trade, transport, accommodation and food service activities	925.30	1043.60	1165.30	1278.70	1440.60	1598.80	1809.10	2048.70	2416.40	2299.30	2393.10	2466.20	2531.60	2576.00	2669.50	2729.80	2868.20	3130.10	3327.40	3610.50	3241.40	3787.50	4696.50	5168.20	5666.40
Bulgaria	Agriculture, forestry and fishing	1584.10	1686.50	1697.20	1709.80	1782.80	1751.00	1671.00	1510.20	2186.20	1584.90	1544.00	1933.50	1872.00	1899.00	1961.40	1860.30	1976.80	2122.70	1906.60	1959.50	2125.40	3088.50	3194.70	2384.40	2142.30
Bulgaria	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	268.20	249.00	263.30	290.30	331.70	408.30	443.00	554.50	823.40	916.80	743.00	847.10	868.10	926.20	944.90	991.90	997.50	1057.30	1099.00	1275.30	1064.60	1069.00	1211.80	1410.60	1545.30
Bulgaria	Construction	646.80	744.00	776.30	801.90	902.20	1255.00	1616.70	2180.40	2809.70	3107.50	2384.60	2290.70	2142.50	1725.50	1651.30	1726.50	1646.60	1866.10	2030.20	2294.70	2571.10	2477.20	2903.70	3666.80	4056.00
Bulgaria	Financial and insurance activities	300.10	407.70	492.40	680.10	791.00	1189.90	1219.70	1962.30	1961.90	1931.10	2977.30	2917.10	2735.70	2393.90	2508.50	2713.70	2953.10	2944.10	3210.80	3047.70	3224.10	4235.20	5012.70	5325.50	6043.90
Bulgaria	Industry (except construction)	2627.80	3070.20	3419.20	3769.70	3977.30	4570.50	5337.30	6344.90	6498.50	6833.30	6710.90	8091.80	8583.50	8160.80	8435.50	9278.70	10278.00	10728.70	10423.70	10900.50	10940.40	12327.00	18877.60	17793.50	19266.70
Bulgaria	Information and communication	406.40	533.60	666.80	703.70	823.90	777.70	876.40	1020.10	1818.80	1741.60	1654.40	1934.30	1857.30	2035.60	2064.80	2092.00	2597.00	2760.00	3296.90	4034.00	4508.70	4867.50	5733.90	6846.70	7468.60
Bulgaria	Professional, scientific and technical activities; administrative and support service activities	549.10	663.50	707.40	670.40	759.20	875.70	1055.90	1390.30	1504.40	1847.60	1892.20	1965.80	2155.80	2026.40	2094.40	2485.00	2626.00	2742.80	3149.80	3747.20	3741.20	4319.10	5055.90	5845.70	6363.20
Bulgaria	Public administration, defence, education, human health and social work activities	2144.00	2112.80	2396.10	2426.80	2636.00	3035.20	3100.40	3451.30	3915.90	4266.40	4560.60	4647.40	4933.80	5078.00	5672.90	5720.10	5618.70	6284.80	7023.70	7668.20	8872.40	10020.80	11608.50	13387.30	15688.00
Bulgaria	Real estate activities	1455.40	1521.10	1792.00	1687.30	2004.60	2129.00	2385.90	3292.10	3389.40	3729.90	4013.20	4155.30	4190.70	4124.60	3894.70	3857.50	3986.80	4515.40	5116.60	5494.40	5217.10	5620.00	6231.40	7177.40	7312.50
Bulgaria	Total - all NACE activities	12658.80	14008.60	15551.40	16404.80	18064.20	20444.80	23135.90	27541.50	31315.70	32514.70	33422.30	36204.40	36760.30	36257.90	37315.80	39554.30	41979.40	45146.90	48622.30	52900.60	53744.80	62465.70	76535.30	83042.40	90377.60
Bulgaria	Wholesale and retail trade, transport, accommodation and food service activities	2676.70	3020.20	3340.60	3664.90	4055.40	4452.60	5429.60	5835.20	6407.40	6555.50	6942.00	7421.40	7420.90	7887.90	8087.30	8828.60	9298.70	10125.00	11364.90	12479.10	11479.70	14441.40	16705.10	19204.50	20491.20
Croatia	Agriculture, forestry and fishing	1173.90	1287.20	1392.70	1220.80	1493.30	1424.20	1616.00	1639.40	1884.30	1828.00	1675.90	1658.60	1473.40	1540.10	1301.30	1348.20	1455.70	1451.00	1565.00	1593.20	1586.80	1961.80	2294.10	2620.30	2911.90
Croatia	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	492.90	571.60	680.10	705.60	751.00	867.00	988.30	1039.10	1148.00	1157.80	1225.90	1245.50	1245.30	1284.80	1294.50	1268.10	1423.70	1554.70	1664.90	1841.50	1530.20	1680.00	1935.80	1988.20	2145.10
Croatia	Construction	949.80	1167.40	1294.00	1679.50	1894.00	2220.40	2532.30	2803.10	3177.50	2820.60	2122.20	1942.70	1627.20	1623.90	1592.00	1663.10	1787.70	1898.80	2169.90	2504.20	2560.70	2901.70	3347.40	4496.60	5495.30
Croatia	Financial and insurance activities	857.30	1025.30	1177.60	1403.60	1482.30	1839.30	1970.20	2275.90	2528.00	2506.20	2635.50	2762.20	2497.20	2326.80	2331.10	2354.00	2443.50	2564.90	2554.10	2498.60	2160.60	2564.90	2700.90	3172.10	3462.00
Croatia	Industry (except construction)	4769.50	5006.50	5296.10	5560.00	6269.00	6536.60	6975.40	7388.20	7873.10	7585.90	7703.60	7897.50	7812.80	7563.30	7553.20	7602.80	7858.80	8027.70	8060.60	8413.10	7631.80	8534.30	10218.90	11901.60	11464.50
Croatia	Information and communication	930.20	1114.10	1259.70	1290.90	1400.10	1523.30	1646.60	1761.40	1996.70	1915.50	1961.20	1865.10	1801.90	1744.00	1667.30	1663.60	1739.00	1882.70	2040.40	2183.20	2493.40	2829.40	3484.40	3755.70	4000.50
Croatia	Professional, scientific and technical activities; administrative and support service activities	911.20	1061.30	1293.20	1505.50	1698.00	2043.40	2480.90	3039.20	3380.40	3121.30	3103.50	3035.30	2968.60	2960.80	2969.20	2971.30	3124.40	3338.10	3513.60	3693.80	3174.70	3583.80	4344.20	4594.30	5089.20
Croatia	Public administration, defence, education, human health and social work activities	3778.90	3785.20	4060.70	4274.80	4750.60	5023.00	5411.50	5963.90	6388.20	6694.30	6862.90	6785.10	6645.40	6483.30	6379.90	6448.20	6718.50	7004.30	7419.00	7858.30	8063.60	8680.00	9245.70	11057.60	12973.30
Croatia	Real estate activities	1822.50	1956.90	2117.20	2241.00	2431.40	2659.40	2933.90	3485.10	3636.10	3594.40	3576.00	3666.80	3643.10	3600.60	3609.10	3668.20	3743.20	3840.40	3901.30	4159.20	4146.80	4432.30	5062.90	5858.30	6336.30
Croatia	Total - all NACE activities	19552.80	21541.50	23840.90	25915.00	28460.10	31042.90	34128.70	37497.50	40999.60	39180.30	39021.70	39053.60	37756.50	37333.00	36809.40	37593.00	39288.00	41338.80	43358.20	45507.50	41979.50	47880.30	56303.50	65124.00	70941.40
Croatia	Wholesale and retail trade, transport, accommodation and food service activities	3866.60	4566.00	5269.80	6033.40	6290.40	6906.30	7573.60	8102.10	8987.20	7956.40	8155.00	8194.90	8041.50	8205.40	8111.90	8605.70	8993.60	9776.30	10469.30	10762.40	8630.90	10712.10	13669.10	15679.20	17063.30
